method,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,ood_accept_rate,dar,safety_ratio,dataset,temperature
vanilla,456,0.01,0.954991340637207,0.0097095798701047,0.0071215955540537,0.0098609747365117,0.7221999764442444,0.9914151430130004,0.2778000235557556,0.0,False,0.9117161687129234,0.4581406002138383,0.0107298178608857,0.0126934657529644,0.0022690032981336,0.0,0.0,,,,cifar10,
vanilla,456,0.02,0.0810810774564743,0.0196085013449192,0.0185460522770881,0.0217370521277189,0.8532000184059143,0.9796062111854552,0.1467999815940857,0.0,False,0.9138478034590756,0.4778490395737256,0.0114765977758331,0.0133371815651275,0.0010535982251167,0.8646000027656555,0.9868147301373176,,,,cifar10,
vanilla,456,0.05,2.6129515390493907e-05,0.0497250482439994,0.0422349870204925,0.0451517924666404,0.9354000091552734,0.956809937953949,0.0645999908447265,0.0,False,0.9136166253101736,0.4780429214751916,0.0108733214909289,0.0128457208319428,0.0061226442456245,0.8912000060081482,1.0502692809688163,,,,cifar10,
vanilla,456,0.1,0.0,0.0809762179851532,0.0785656049847602,0.0785656049847602,1.0,0.9259999990463256,0.0,0.0,False,0.9130398108691844,0.4822347995230081,0.0113924330327554,0.013055705170832,0.0190755635499954,1.0,1.0,,,,cifar10,
vanilla,456,0.15,0.0,0.0795181840658187,0.079759657382965,0.079759657382965,1.0,0.9246000051498412,0.0,0.0,False,0.918380075174812,0.4722622009891165,0.0112690629354589,0.012371700066882,0.0700420603156089,1.0,1.0,,,,cifar10,
vanilla,456,0.2,0.0,0.079286977648735,0.0802095308899879,0.0802095308899879,1.0,0.9241999983787536,0.0,0.0,False,0.9092470475784806,0.4589727357304661,0.0109139252099609,0.0129128606938087,0.1208498895168304,1.0,1.0,,,,cifar10,
vanilla,999,0.01,0.913913905620575,0.0096685755997896,0.0118539920076727,0.015073743648827,0.7864000201225281,0.986266553401947,0.2135999798774719,0.0018539920076727,True,0.909098030488237,0.4471407511348851,0.0123198269178518,0.0140871432246159,-0.0044951250404119,0.7748000025749207,1.042849800526764,,,,cifar10,
vanilla,999,0.02,0.0478780679404735,0.0196295715868473,0.022220766171813,0.0259952805936336,0.8547999858856201,0.9754328727722168,0.1452000141143798,0.002220766171813,True,0.9095688035563808,0.4674111635939623,0.0126916553634326,0.0131377114078562,-0.0012416499853134,0.8425999879837036,1.0161405079424994,,,,cifar10,
vanilla,999,0.05,7.200599156931276e-06,0.0496337786316871,0.0539984852075576,0.0570567287504673,0.946399986743927,0.94590026140213,0.053600013256073,0.0039984852075576,True,0.8994351431271359,0.4183260220222217,0.0126661520970355,0.014642106388232,-0.0007041215896606,0.8812000155448914,1.0696777067607102,,,,cifar10,
vanilla,999,0.1,0.0,0.0797575637698173,0.0834580734372139,0.0834580734372139,1.0,0.9229999780654908,0.0,0.0,False,0.908338140732507,0.4430399974603143,0.0126902355069475,0.0145719708578422,0.0175050631165504,1.0,1.0,,,,cifar10,
vanilla,999,0.15,0.0,0.0793601348996162,0.0830785408616066,0.0830785408616066,1.0,0.9225999712944032,0.0,0.0,False,0.90301115093789,0.4217776817337556,0.0126783230084387,0.014509517898968,0.0672339141368865,1.0,1.0,,,,cifar10,
vanilla,999,0.2,0.0,0.0794837474822998,0.0835181400179863,0.0835181400179863,1.0,0.9225999712944032,0.0,0.0,False,0.9086585993633316,0.4268785694278302,0.0130805333204611,0.0142238125257039,0.1157986566424369,1.0,1.0,,,,cifar10,
posthoc_crc,42,0.01,0.8778778910636902,0.0096690747886896,0.0118650896474719,0.0151960672810673,0.7807999849319458,0.9861680269241332,0.2192000150680542,0.0018650896474719,True,0.9051902667825716,0.4841321064081735,0.0132603088009779,0.0146838471250986,-0.0013617982715368,0.7652000188827515,1.0185572030871652,,,,cifar10,
posthoc_crc,42,0.02,0.0238343495875597,0.019677136093378,0.0238502249121665,0.0279800873249769,0.852400004863739,0.973486602306366,0.147599995136261,0.0038502249121665,True,0.9051346004378876,0.4886599230431573,0.012746744167682,0.0150170734535004,-1.280896365642506e-05,0.8416000008583069,0.998930572557996,,,,cifar10,
posthoc_crc,42,0.05,6.375131306413096e-06,0.0496881492435932,0.0554010197520256,0.0587809234857559,0.9424999952316284,0.9438726902008056,0.0575000047683715,0.0054010197520256,True,0.9116704746331264,0.4936957377728496,0.012930720838398,0.0156300695959736,-0.007162769138813,0.8756999969482422,1.0803928284388142,,,,cifar10,
posthoc_crc,42,0.1,0.0,0.0832596123218536,0.0884725674986839,0.0884725674986839,1.0,0.915499985218048,0.0,0.0,False,0.9052224186350136,0.4842728028376863,0.0138608707117785,0.0151131101577161,0.0112732633948326,1.0,1.0,,,,cifar10,
posthoc_crc,42,0.15,0.0,0.0833097323775291,0.0890350565314292,0.0890350565314292,1.0,0.9144999980926514,0.0,0.0,False,0.905640892828024,0.4966248890476756,0.0126530078675888,0.0149024523023113,0.0598337590694427,1.0,1.0,,,,cifar10,
posthoc_crc,42,0.2,0.0,0.0817004367709159,0.0876858308911323,0.0876858308911323,1.0,0.9168999791145324,0.0,0.0,False,0.9057597285049463,0.4621390089270029,0.0129636505346579,0.0150371654762152,0.1115323945879936,1.0,1.0,,,,cifar10,
posthoc_crc,123,0.01,0.9481327533721924,0.0096393097192049,0.0088283875957131,0.0115283196792006,0.7657999992370605,0.9898145794868468,0.2342000007629394,0.0,False,0.9155979710551856,0.4777755401379927,0.0119114331161646,0.0139229400634471,0.0015692964568734,0.7871999740600586,0.9725610402464628,,,,cifar10,
posthoc_crc,123,0.02,0.0222330652177333,0.0196506902575492,0.0200339499861001,0.023547189310193,0.8507999777793884,0.977903127670288,0.1492000222206115,3.394998610019642e-05,True,0.9153149438557427,0.4652505417128283,0.0124911658107856,0.0133481145619237,-0.0014541479945182,0.8574000000953674,0.9993002328501956,,,,cifar10,
posthoc_crc,123,0.05,3.091666712862206e-06,0.0497095584869384,0.0551345199346542,0.0581710487604141,0.9477999806404114,0.9445030689239502,0.0522000193595886,0.0051345199346542,True,0.91496497937587,0.4852357353687054,0.0124933493242291,0.0132261041568781,-0.0043326921761035,0.8748000264167786,1.0871055629705542,,,,cifar10,
posthoc_crc,123,0.1,0.0,0.0762374997138977,0.0861959308385849,0.0861959308385849,1.0,0.91839998960495,0.0,0.0,False,0.9118920052777209,0.4854028296103616,0.0115872643364463,0.0139220349479866,0.0155593663454055,1.0,1.0,,,,cifar10,
posthoc_crc,123,0.15,0.0,0.0755037292838096,0.081807255744934,0.081807255744934,1.0,0.9236000180244446,0.0,0.0,False,0.916397309412973,0.4577124751580724,0.0119061000512721,0.0133459770301997,0.0639535874128341,1.0,1.0,,,,cifar10,
posthoc_crc,123,0.2,0.0,0.0733289122581482,0.0836099609732627,0.0836099609732627,1.0,0.9205999970436096,0.0,0.0,False,0.9203561252080152,0.5025451840719337,0.0121783578451327,0.014018703364943,0.1155017808079719,1.0,1.0,,,,cifar10,
posthoc_crc,456,0.01,0.954991340637207,0.0097095798701047,0.0071215955540537,0.0098609747365117,0.7221999764442444,0.9914151430130004,0.2778000235557556,0.0,False,0.9117161687129234,0.4581406002138383,0.0107298178608857,0.0126934657529644,0.0022690032981336,0.0,0.0,,,,cifar10,
posthoc_crc,456,0.02,0.0810810774564743,0.0196085013449192,0.0185460522770881,0.0217370521277189,0.8532000184059143,0.9796062111854552,0.1467999815940857,0.0,False,0.9138478034590756,0.4778490395737256,0.0114765977758331,0.0133371815651275,0.0010535982251167,0.8646000027656555,0.9868147301373176,,,,cifar10,
posthoc_crc,456,0.05,2.6129515390493907e-05,0.0497250482439994,0.0422349870204925,0.0451517924666404,0.9354000091552734,0.956809937953949,0.0645999908447265,0.0,False,0.9136166253101736,0.4780429214751916,0.0108733214909289,0.0128457208319428,0.0061226442456245,0.8912000060081482,1.0502692809688163,,,,cifar10,
posthoc_crc,456,0.1,0.0,0.0809762179851532,0.0785656049847602,0.0785656049847602,1.0,0.9259999990463256,0.0,0.0,False,0.9130398108691844,0.4822347995230081,0.0113924330327554,0.013055705170832,0.0190755635499954,1.0,1.0,,,,cifar10,
